id,boa_peak,boa_size
856,4888,23
857,9049,2
858,9050,2
859,9051,2
860,9052,2
861,9053,2
862,9054,2
863,9055,2
864,4960,16
865,609,15
866,4898,13
867,9059,2
868,8996,12
869,9061,2
870,9062,2
871,9063,2
872,2856,24
873,9065,2
874,9066,2
875,9067,2
876,9068,2
877,9069,2
878,9070,2
879,9071,2
880,624,4
881,9009,26
882,9074,2
883,9075,2
884,9076,2
885,9077,2
886,9078,2
887,9079,2
888,9080,2
889,9081,2
890,9082,2
891,9083,2
892,9084,2
893,9085,2
894,9086,2
895,9087,2
896,900,26
897,4993,16
898,9090,36
899,9090,36
900,900,26
901,900,26
902,900,26
903,9095,2
904,9096,23
905,9096,23
906,778,27
907,9099,2
908,900,26
909,9101,2
910,9102,2
911,9103,2
912,2960,30
913,8849,36
914,9090,36
915,9107,2
916,900,26
917,9109,2
918,9110,2
919,9111,2
920,9096,23
921,9113,2
922,9114,2
923,9115,2
924,9116,2
925,9117,2
926,9118,2
927,9119,2
928,929,27
929,929,27
930,674,28
931,929,27
932,900,26
933,929,27
934,9126,2
935,9127,2
936,680,10
937,929,27
938,9130,2
939,9131,2
940,9132,2
941,9133,2
942,9134,2
943,9135,2
944,944,11
945,929,27
946,944,11
947,9139,2
948,944,11
949,9141,2
950,9142,2
951,9143,2
952,944,11
953,9145,2
954,9146,2
955,9147,2
956,9148,2
957,9149,2
958,9150,2
959,9151,2
960,960,7
961,960,7
962,9090,36
963,9155,2
964,900,26
965,9157,2
966,9158,2
967,9159,2
968,9096,23
969,9161,2
970,9162,2
971,9163,2
972,9164,2
973,9165,2
974,9166,2
975,9167,2
976,960,7
977,9169,2
978,9170,2
979,9171,2
980,9172,2
981,9173,2
982,9174,2
983,9175,2
984,9176,2
985,9177,2
986,9178,2
987,9179,2
988,9180,2
989,9181,2
990,9182,2
991,9183,2
992,960,7
993,929,27
994,9186,2
995,9187,2
996,9188,2
997,9189,2
998,9190,2
999,9191,2
1000,9192,2
1001,9193,2
1002,9194,2
1003,9195,2
1004,9196,2
1005,9197,2
1006,9198,2
1007,9199,2
1008,944,11
1009,9201,2
1010,9202,2
1011,9203,2
1012,9204,2
1013,9205,2
1014,9206,2
1015,9207,2
1016,9208,2
1017,9209,2
1018,9210,2
1019,9211,2
1020,9212,2
1021,9213,2
1022,9214,2
1023,9215,2
1024,1036,15
1025,9733,45
1026,9226,29
1027,5123,16
1028,1036,15
1029,9733,45
1030,8198,29
1031,9733,45
1032,1036,15
1033,5641,24
1034,9226,29
1035,9226,29
1036,1036,15
1037,1036,15
1038,1036,15
1039,9231,2
1040,9748,23
1041,1169,15
1042,5650,24
1043,19,16
1044,9748,23
1045,9733,45
1046,9748,23
1047,9239,2
1048,3096,16
1049,537,25
1050,9226,29
1051,9243,2
1052,1036,15
1053,9245,2
1054,9246,2
1055,9247,2
1056,5668,33
1057,1065,14
1058,3618,25
1059,8227,17
1060,5668,33
1061,37,15
1062,5668,33
1063,9255,2
1064,1065,14
1065,1065,14
1066,9226,29
1067,1065,14
1068,1036,15
1069,1065,14
1070,9262,2
1071,9263,2
1072,1074,12
1073,9777,17
1074,1074,12
1075,1074,12
1076,564,20
1077,9777,17
1078,1074,12
1079,9271,2
1080,1592,17
1081,1065,14
1082,1074,12
1083,9275,2
1084,1592,17
1085,9277,2
1086,9278,2
1087,9279,2
1088,1090,12
1089,9793,14
1090,1090,12
1091,1090,12
1092,580,22
1093,9733,45
1094,1090,12
1095,9287,2
1096,1608,18
1097,1608,18
1098,9226,29
1099,9291,2
1100,1036,15
1101,9293,2
1102,9294,2
1103,9295,2
1104,5200,9
1105,9793,14
1106,1090,12
1107,9299,2
1108,9748,23
1109,9301,2
1110,9302,2
1111,9303,2
1112,1608,18
1113,9305,2
1114,9306,2
1115,9307,2
1116,9308,2
1117,9309,2
1118,9310,2
1119,9311,2
1120,3168,9
1121,609,15
1122,1090,12
1123,9315,2
1124,5668,33
1125,9317,2
1126,9318,2
1127,9319,2
1128,1608,18
1129,1065,14
1130,9322,2
1131,9323,2
1132,9324,2
1133,9325,2
1134,9326,2
1135,9327,2
1136,8304,10
1137,9777,17
1138,1074,12
1139,9331,2
1140,9332,2
1141,9333,2
1142,9334,2
1143,9335,2
1144,1592,17
1145,9337,2
1146,9338,2
1147,9339,2
1148,9340,2
1149,9341,2
1150,9342,2
1151,9343,2
1152,9348,31
1153,3713,31
1154,9858,25
1155,9858,25
1156,9348,31
1157,9348,31
1158,9348,31
1159,9351,2
1160,5256,17
1161,5256,17
1162,9226,29
1163,9355,2
1164,1036,15
1165,9357,2
1166,9358,2
1167,9359,2
1168,1169,15
1169,1169,15
1170,9858,25
1171,1169,15
1172,9348,31
1173,1169,15
1174,9366,2
1175,9367,2
1176,152,16
1177,1169,15
1178,9370,2
1179,9371,2
1180,9372,2
1181,9373,2
1182,9374,2
1183,9375,2
1184,9377,20
1185,9377,20
1186,674,28
1187,9377,20
1188,9348,31
1189,9377,20
1190,9382,2
1191,9383,2
1192,8360,19
1193,1065,14
1194,9386,2
1195,9387,2
1196,9388,2
1197,9389,2
1198,9390,2
1199,9391,2
1200,9904,24
1201,1169,15
1202,1074,12
1203,9395,2
1204,9904,24
1205,9397,2
1206,9398,2
1207,9399,2
1208,1592,17
1209,9401,2
1210,9402,2
1211,9403,2
1212,9404,2
1213,9405,2
1214,9406,2
1215,9407,2
1216,9920,30
1217,9920,30
1218,1090,12
1219,9411,2
1220,9348,31
1221,9413,2
1222,9414,2
1223,9415,2
1224,1608,18
1225,9417,2
1226,9418,2
1227,9419,2
1228,9420,2
1229,9421,2
1230,9422,2
1231,9423,2
1232,9920,30
1233,1169,15
1234,9426,2
1235,9427,2
1236,9428,2
1237,9429,2
1238,9430,2
1239,9431,2
1240,9432,2
1241,9433,2
1242,9434,2
1243,9435,2
1244,9436,2
1245,9437,2
1246,9438,2
1247,9439,2
1248,224,11
1249,9377,20
1250,9442,2
1251,9443,2
1252,9444,2
1253,9445,2
1254,9446,2
1255,9447,2
1256,9448,2
1257,9449,2
1258,9450,2
1259,9451,2
1260,9452,2
1261,9453,2
1262,9454,2
1263,9455,2
1264,9904,24
1265,9457,2
1266,9458,2
1267,9459,2
1268,9460,2
1269,9461,2
1270,9462,2
1271,9463,2
1272,9464,2
1273,9465,2
1274,9466,2
1275,9467,2
1276,9468,2
1277,9469,2
1278,9470,2
1279,9471,2
1280,3844,29
1281,1795,25
1282,1410,15
1283,1795,25
1284,3844,29
1285,8453,28
1286,3844,29
1287,1795,25
1288,1928,24
1289,9481,24
1290,778,27
1291,1795,25
1292,1036,15
1293,9481,24
1294,9486,2
1295,9487,2
1296,1300,11
1297,5905,26
1298,9490,18
1299,1795,25
1300,1300,11
1301,1300,11
1302,1300,11
1303,9495,2
1304,10008,25
1305,9481,24
1306,9490,18
1307,9499,2
1308,1300,11
1309,9501,2
1310,9502,2
1311,9503,2
1312,9508,28
1313,3873,26
1314,10018,23
1315,1795,25
1316,9508,28
1317,9508,28
1318,9508,28
1319,9511,2
1320,5416,17
1321,1065,14
1322,10018,23
1323,9515,2
1324,9508,28
1325,9517,2
1326,9518,2
1327,9519,2
1328,1329,13
1329,1329,13
1330,1074,12
1331,1329,13
1332,1300,11
1333,1329,13
1334,9526,2
1335,9527,2
1336,312,12
1337,1329,13
1338,9530,2
1339,9531,2
1340,9532,2
1341,9533,2
1342,9534,2
1343,9535,2
1344,1345,10
1345,1345,10
1346,1090,12
1347,1795,25
1348,3844,29
1349,1345,10
1350,9542,2
1351,9543,2
1352,328,12
1353,9481,24
1354,9546,2
1355,9547,2
1356,9548,2
1357,9549,2
1358,9550,2
1359,9551,2
1360,1872,10
1361,1345,10
1362,9490,18
1363,9555,2
1364,1300,11
1365,9557,2
1366,9558,2
1367,9559,2
1368,10008,25
1369,9561,2
1370,9562,2
1371,9563,2
1372,9564,2
1373,9565,2
1374,9566,2
1375,9567,2
1376,10080,19
1377,1345,10
1378,10018,23
1379,9571,2
1380,9508,28
1381,9573,2
1382,9574,2
1383,9575,2
1384,5416,17
1385,9577,2
1386,9578,2
1387,9579,2
1388,9580,2
1389,9581,2
1390,9582,2
1391,9583,2
1392,1872,10
1393,1329,13
1394,9586,2
1395,9587,2
1396,9588,2
1397,9589,2
1398,9590,2
1399,9591,2
1400,9592,2
1401,9593,2
1402,9594,2
1403,9595,2
1404,9596,2
1405,9597,2
1406,9598,2
1407,9599,2
1408,1410,15
1409,10113,25
1410,1410,15
1411,1410,15
1412,900,26
1413,10113,25
1414,1410,15
1415,9607,2
1416,1928,24
1417,1928,24
1418,1410,15
1419,9611,2
1420,1928,24
1421,9613,2
1422,9614,2
1423,9615,2
1424,5520,15
1425,1169,15
1426,1410,15
1427,9619,2
1428,1300,11
1429,9621,2
1430,9622,2
1431,9623,2
1432,1928,24
1433,9625,2
1434,9626,2
1435,9627,2
1436,9628,2
1437,9629,2
1438,9630,2
1439,9631,2
1440,3488,15
1441,929,27
1442,1410,15
1443,9635,2
1444,9508,28
1445,9637,2
1446,9638,2
1447,9639,2
1448,1928,24
1449,9641,2
1450,9642,2
1451,9643,2
1452,9644,2
1453,9645,2
1454,9646,2
1455,9647,2
1456,8624,16
1457,1329,13
1458,9650,2
1459,9651,2
1460,9652,2
1461,9653,2
1462,9654,2
1463,9655,2
1464,9656,2
1465,9657,2
1466,9658,2
1467,9659,2
1468,9660,2
1469,9661,2
1470,9662,2
1471,9663,2
1472,8640,19
1473,1345,10
1474,1410,15
1475,9667,2
1476,9668,2
1477,9669,2
1478,9670,2
1479,9671,2
1480,1928,24
1481,9673,2
1482,9674,2
1483,9675,2
1484,9676,2
1485,9677,2
1486,9678,2
1487,9679,2
1488,1872,10
1489,9681,2
1490,9682,2
1491,9683,2
1492,9684,2
1493,9685,2
1494,9686,2
1495,9687,2
1496,9688,2
1497,9689,2
1498,9690,2
1499,9691,2
1500,9692,2
1501,9693,2
1502,9694,2
1503,9695,2
1504,10080,19
1505,9697,2
1506,9698,2
1507,9699,2
1508,9700,2
1509,9701,2
1510,9702,2
1511,9703,2
1512,9704,2
1513,9705,2
1514,9706,2
1515,9707,2
1516,9708,2
1517,9709,2
1518,9710,2
1519,9711,2
1520,9712,2
1521,9713,2
1522,9714,2
1523,9715,2
1524,9716,2
1525,9717,2
1526,9718,2
1527,9719,2
1528,9720,2
1529,9721,2
1530,9722,2
1531,9723,2
1532,9724,2
1533,9725,2
1534,9726,2
1535,9727,2
1536,1668,12
1537,9733,45
1538,1546,13
1539,9731,13
1540,1668,12
1541,9733,45
1542,518,14
1543,9733,45
1544,1546,13
1545,5641,24
1546,1546,13
1547,1546,13
1548,1036,15
1549,9733,45
1550,1546,13
1551,9743,2
1552,9748,23
1553,11793,37
1554,5650,24
1555,9731,13
1556,9748,23
1557,9733,45
1558,9748,23
1559,9751,2
1560,5656,8
1561,537,25
1562,1546,13
1563,9755,2
1564,9748,23
1565,9757,2
1566,9758,2
1567,9759,2
1568,5668,33
1569,1697,12
1570,3618,25
1571,547,10
1572,5668,33
1573,9733,45
1574,5668,33
1575,9767,2
1576,3624,9
1577,1065,14
1578,1546,13
1579,9771,2
1580,5668,33
1581,9773,2
1582,9774,2
1583,9775,2
1584,1592,17
1585,9777,17
1586,1074,12
1587,9777,17
1588,564,20
1589,9777,17
1590,9782,2
1591,9783,2
1592,1592,17
1593,1592,17
1594,1592,17
1595,9787,2
1596,1592,17
1597,9789,2
1598,9790,2
1599,9791,2
1600,1608,18
1601,9793,14
1602,1090,12
1603,9731,13
1604,580,22
1605,9733,45
1606,9798,2
1607,9799,2
1608,1608,18
1609,1608,18
1610,1546,13
1611,9803,2
1612,1608,18
1613,9805,2
1614,9806,2
1615,9807,2
1616,9808,4
1617,9793,14
1618,5650,24
1619,9811,2
1620,9748,23
1621,9813,2
1622,9814,2
1623,9815,2
1624,1608,18
1625,9817,2
1626,9818,2
1627,9819,2
1628,9820,2
1629,9821,2
1630,9822,2
1631,9823,2
1632,5728,5
1633,609,15
1634,3618,25
1635,9827,2
1636,5668,33
1637,9829,2
1638,9830,2
1639,9831,2
1640,1608,18
1641,9833,2
1642,9834,2
1643,9835,2
1644,9836,2
1645,9837,2
1646,9838,2
1647,9839,2
1648,624,4
1649,9777,17
1650,9842,2
1651,9843,2
1652,9844,2
1653,9845,2
1654,9846,2
1655,9847,2
1656,1592,17
1657,9849,2
1658,9850,2
1659,9851,2
1660,9852,2
1661,9853,2
1662,9854,2
1663,9855,2
1664,1668,12
1665,3713,31
1666,9858,25
1667,9858,25
1668,1668,12
1669,1668,12
1670,1668,12
1671,9863,2
1672,9864,16
1673,9864,16
1674,1546,13
1675,9867,2
1676,1668,12
1677,9869,2
1678,9870,2
1679,9871,2
1680,3728,13
1681,1169,15
1682,9858,25
1683,9875,2
1684,1668,12
1685,9877,2
1686,9878,2
1687,9879,2
1688,9864,16
1689,9881,2
1690,9882,2
1691,9883,2
1692,9884,2
1693,9885,2
1694,9886,2
1695,9887,2
1696,1697,12
1697,1697,12
1698,674,28
1699,1697,12
1700,1668,12
1701,1697,12
1702,9894,2
1703,9895,2
1704,680,10
1705,1697,12
1706,9898,2
1707,9899,2
1708,9900,2
1709,9901,2
1710,9902,2
1711,9903,2
1712,9904,24
1713,1697,12
1714,9904,24
1715,9907,2
1716,9904,24
1717,9909,2
1718,9910,2
1719,9911,2
1720,1592,17
1721,9913,2
1722,9914,2
1723,9915,2
1724,9916,2
1725,9917,2
1726,9918,2
1727,9919,2
1728,9920,30
1729,9920,30
1730,9858,25
1731,9923,2
1732,1668,12
1733,9925,2
1734,9926,2
1735,9927,2
1736,1608,18
1737,9929,2
1738,9930,2
1739,9931,2
1740,9932,2
1741,9933,2
1742,9934,2
1743,9935,2
1744,9920,30
1745,9937,2
1746,9938,2
1747,9939,2
1748,9940,2
1749,9941,2
1750,9942,2
1751,9943,2
1752,9944,2
1753,9945,2
1754,9946,2
1755,9947,2
1756,9948,2
1757,9949,2
1758,9950,2
1759,9951,2
1760,9920,30
1761,1697,12
1762,9954,2
1763,9955,2
1764,9956,2
1765,9957,2
1766,9958,2
1767,9959,2
1768,9960,2
1769,9961,2
1770,9962,2
1771,9963,2
1772,9964,2
1773,9965,2
1774,9966,2
1775,9967,2
1776,9904,24
1777,9969,2
1778,9970,2
1779,9971,2
1780,9972,2
1781,9973,2
1782,9974,2
1783,9975,2
1784,9976,2
1785,9977,2
1786,9978,2
1787,9979,2
1788,9980,2
1789,9981,2
1790,9982,2
1791,9983,2
1792,3844,29
1793,1795,25
1794,1795,25
1795,1795,25
1796,3844,29
1797,773,9
1798,3844,29
1799,1795,25
1800,1928,24
1801,1801,8
1802,778,27
1803,1795,25
1804,3844,29
1805,1801,8
1806,9998,2
1807,9999,2
1808,1810,9
1809,5905,26
1810,1810,9
1811,1795,25
1812,1300,11
1813,5905,26
1814,1810,9
1815,10007,2
