id,boa_peak,boa_size
1654,16127,2050
1655,16127,2050
1656,16380,1538
1657,16377,1026
1658,16127,2050
1659,16127,2050
1660,16380,1538
1661,16127,2050
1662,16127,2050
1663,16127,2050
1664,16380,1538
1665,16377,1026
1666,12222,385
1667,16315,769
1668,16380,1538
1669,16317,256
1670,12222,385
1671,16127,2050
1672,16380,1538
1673,16377,1026
1674,12222,385
1675,16315,769
1676,16380,1538
1677,16317,256
1678,12222,385
1679,16127,2050
1680,16380,1538
1681,16377,1026
1682,12222,385
1683,16315,769
1684,16380,1538
1685,16317,256
1686,12222,385
1687,16127,2050
1688,16380,1538
1689,16377,1026
1690,12222,385
1691,16315,769
1692,16380,1538
1693,16317,256
1694,12222,385
1695,16127,2050
1696,16380,1538
1697,16377,1026
1698,12222,385
1699,16315,769
1700,16380,1538
1701,16317,256
1702,12222,385
1703,16127,2050
1704,16380,1538
1705,16377,1026
1706,12222,385
1707,16315,769
1708,16380,1538
1709,16317,256
1710,12222,385
1711,16127,2050
1712,16380,1538
1713,16377,1026
1714,12222,385
1715,16315,769
1716,16380,1538
1717,16317,256
1718,12222,385
1719,16127,2050
1720,16380,1538
1721,16377,1026
