id,fitness
820,340
821,489
822,408
823,557
824,270
825,419
826,338
827,487
828,382
829,531
830,450
831,599
832,147
833,296
834,215
835,364
836,259
837,408
838,327
839,476
840,189
841,338
842,257
843,406
844,301
845,450
846,369
847,518
848,215
849,364
850,283
851,432
852,327
853,476
854,395
855,544
856,257
857,406
858,325
859,474
860,369
861,518
862,437
863,586
864,222
865,371
866,290
867,439
868,334
869,483
870,402
871,551
872,264
873,413
874,332
875,481
876,376
877,525
878,444
879,593
880,290
881,439
882,358
883,507
884,402
885,551
886,470
887,619
888,332
889,481
890,400
891,549
892,444
893,593
894,512
895,661
896,117
897,266
898,185
899,334
900,229
901,378
902,297
903,446
904,159
905,308
906,227
907,376
908,271
909,420
910,339
911,488
912,185
913,334
914,253
915,402
916,297
917,446
918,365
919,514
920,227
921,376
922,295
923,444
924,339
925,488
926,407
927,556
928,192
929,341
930,260
931,409
932,304
933,453
934,372
935,521
936,234
937,383
938,302
939,451
940,346
941,495
942,414
943,563
944,260
945,409
946,328
947,477
948,372
949,521
950,440
951,589
952,302
953,451
954,370
955,519
956,414
957,563
958,482
959,631
960,179
961,328
962,247
963,396
964,291
965,440
966,359
967,508
968,221
969,370
970,289
971,438
972,333
973,482
974,401
975,550
976,247
977,396
978,315
979,464
980,359
981,508
982,427
983,576
984,289
985,438
986,357
987,506
988,401
989,550
990,469
991,618
992,254
993,403
994,322
995,471
996,366
997,515
998,434
999,583
1000,296
1001,445
1002,364
1003,513
1004,408
1005,557
1006,476
1007,625
1008,322
1009,471
1010,390
1011,539
1012,434
1013,583
1014,502
1015,651
1016,364
1017,513
1018,432
1019,581
1020,476
1021,625
1022,544
1023,693
1024,50
1025,199
1026,118
1027,267
1028,162
1029,311
1030,230
1031,379
1032,92
1033,241
1034,160
1035,309
1036,204
1037,353
1038,272
1039,421
1040,118
1041,267
1042,186
1043,335
1044,230
1045,379
1046,298
1047,447
1048,160
1049,309
1050,228
1051,377
1052,272
1053,421
1054,340
1055,489
1056,125
1057,274
1058,193
1059,342
1060,237
1061,386
1062,305
1063,454
1064,167
1065,316
1066,235
1067,384
1068,279
1069,428
1070,347
1071,496
1072,193
1073,342
1074,261
1075,410
1076,305
1077,454
1078,373
1079,522
1080,235
1081,384
1082,303
1083,452
1084,347
1085,496
1086,415
1087,564
1088,112
1089,261
1090,180
1091,329
1092,224
1093,373
1094,292
1095,441
1096,154
1097,303
1098,222
1099,371
1100,266
1101,415
1102,334
1103,483
1104,180
1105,329
1106,248
1107,397
1108,292
1109,441
1110,360
1111,509
1112,222
1113,371
1114,290
1115,439
1116,334
1117,483
1118,402
1119,551
1120,187
1121,336
1122,255
1123,404
1124,299
1125,448
1126,367
1127,516
1128,229
1129,378
1130,297
1131,446
1132,341
1133,490
1134,409
1135,558
1136,255
1137,404
1138,323
1139,472
1140,367
1141,516
1142,435
1143,584
1144,297
1145,446
1146,365
1147,514
1148,409
1149,558
1150,477
1151,626
1152,82
1153,231
1154,150
1155,299
1156,194
1157,343
1158,262
1159,411
1160,124
1161,273
1162,192
1163,341
1164,236
1165,385
1166,304
1167,453
1168,150
1169,299
1170,218
1171,367
1172,262
1173,411
1174,330
1175,479
1176,192
1177,341
1178,260
1179,409
1180,304
1181,453
1182,372
1183,521
1184,157
1185,306
1186,225
1187,374
1188,269
1189,418
1190,337
1191,486
1192,199
1193,348
1194,267
1195,416
1196,311
1197,460
1198,379
1199,528
1200,225
1201,374
1202,293
1203,442
1204,337
1205,486
1206,405
1207,554
1208,267
1209,416
1210,335
1211,484
1212,379
1213,528
1214,447
1215,596
1216,144
1217,293
1218,212
1219,361
1220,256
1221,405
1222,324
1223,473
1224,186
1225,335
1226,254
1227,403
1228,298
1229,447
1230,366
1231,515
1232,212
1233,361
1234,280
1235,429
1236,324
1237,473
1238,392
1239,541
1240,254
1241,403
1242,322
1243,471
1244,366
1245,515
1246,434
1247,583
1248,219
1249,368
1250,287
1251,436
1252,331
1253,480
1254,399
1255,548
1256,261
1257,410
1258,329
1259,478
1260,373
1261,522
1262,441
1263,590
1264,287
1265,436
1266,355
1267,504
1268,399
1269,548
1270,467
1271,616
1272,329
1273,478
1274,397
1275,546
1276,441
1277,590
1278,509
1279,658
1280,75
1281,224
1282,143
1283,292
1284,187
1285,336
1286,255
1287,404
1288,117
1289,266
1290,185
1291,334
1292,229
1293,378
1294,297
1295,446
1296,143
1297,292
1298,211
1299,360
1300,255
1301,404
1302,323
1303,472
1304,185
1305,334
1306,253
1307,402
1308,297
1309,446
1310,365
1311,514
1312,150
1313,299
1314,218
1315,367
1316,262
